scorer,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000
bodyparts,north,north,north,east,east,east,south,south,south,west,west,west
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,103.49441528320312,59.36467742919922,1.0,154.07615661621094,65.09352111816406,1.0,144.2588653564453,111.20596313476562,1.0,104.09574890136719,104.22647857666016,1.0
1,103.49441528320312,59.36467742919922,1.0,154.07615661621094,65.09352111816406,1.0,144.2588653564453,111.20596313476562,1.0,104.09574890136719,104.22647857666016,1.0
2,102.7867202758789,60.23069381713867,1.0,153.72947692871094,65.27854919433594,1.0,144.10726928710938,111.92198181152344,1.0,103.69588470458984,105.00090026855469,1.0
3,103.607177734375,60.550724029541016,1.0,154.65496826171875,65.9681625366211,1.0,144.3145751953125,112.80291748046875,1.0,103.92739868164062,105.06734466552734,1.0
4,103.70069122314453,61.2891731262207,1.0,154.33612060546875,66.9351577758789,1.0,144.2759552001953,113.89432525634766,1.0,103.21405029296875,105.79154968261719,1.0
5,102.57579040527344,61.11817169189453,1.0,153.29603576660156,65.18512725830078,1.0,144.5823974609375,112.35469818115234,1.0,104.31615447998047,106.15823364257812,1.0
6,103.17776489257812,60.19814682006836,1.0,154.11068725585938,65.75578308105469,1.0,143.71205139160156,112.22093963623047,1.0,103.99661254882812,105.2387466430664,1.0
7,103.17776489257812,60.19814682006836,1.0,154.11068725585938,65.75578308105469,1.0,143.71205139160156,112.22093963623047,1.0,103.99661254882812,105.2387466430664,1.0
8,103.19567108154297,60.238929748535156,1.0,153.80203247070312,65.88591003417969,1.0,143.8125457763672,112.61254119873047,1.0,103.64623260498047,105.81227111816406,1.0
9,103.19567108154297,60.238929748535156,1.0,153.80203247070312,65.88591003417969,1.0,143.8125457763672,112.61254119873047,1.0,103.64623260498047,105.81227111816406,1.0
10,103.32453918457031,59.974788665771484,1.0,154.24513244628906,65.8905258178711,1.0,143.89808654785156,112.46163940429688,1.0,103.88681030273438,105.0219955444336,1.0
11,103.32453918457031,59.974788665771484,1.0,154.24513244628906,65.8905258178711,1.0,143.89808654785156,112.46163940429688,1.0,103.88681030273438,105.0219955444336,1.0
12,103.17620849609375,60.285457611083984,1.0,154.26364135742188,65.95319366455078,1.0,143.96826171875,112.84068298339844,1.0,103.56690979003906,105.51622772216797,1.0
13,103.2453842163086,60.0538444519043,1.0,154.43028259277344,66.02743530273438,1.0,143.65237426757812,112.63605499267578,1.0,103.57626342773438,105.51940155029297,1.0
14,103.2453842163086,60.0538444519043,1.0,154.43028259277344,66.02743530273438,1.0,143.65237426757812,112.63605499267578,1.0,103.57626342773438,105.51940155029297,1.0
15,102.70286560058594,60.46881866455078,1.0,154.31207275390625,65.97203063964844,1.0,143.7806396484375,112.71696472167969,1.0,103.5048828125,105.99005126953125,1.0
16,102.96549224853516,60.53853988647461,1.0,154.10525512695312,65.4749755859375,1.0,144.40911865234375,112.80651092529297,1.0,103.93888854980469,105.23541259765625,1.0
17,103.07789611816406,60.18091583251953,1.0,154.28564453125,65.10880279541016,1.0,144.41184997558594,112.58969116210938,1.0,103.51986694335938,104.92313385009766,1.0
18,103.19159698486328,60.143550872802734,1.0,154.15936279296875,65.01045989990234,1.0,145.09237670898438,112.60871887207031,1.0,103.72563171386719,105.13431549072266,1.0
19,103.59619140625,59.44347381591797,1.0,154.41827392578125,65.31510162353516,1.0,145.27845764160156,112.8102035522461,1.0,104.18277740478516,105.15855407714844,1.0
20,103.59619140625,59.44347381591797,1.0,154.41827392578125,65.31510162353516,1.0,145.27845764160156,112.8102035522461,1.0,104.18277740478516,105.15855407714844,1.0
21,103.60586547851562,59.62843704223633,1.0,154.7005615234375,65.71652221679688,1.0,145.08636474609375,113.14085388183594,1.0,103.90138244628906,105.22102355957031,1.0
22,103.72213745117188,59.515907287597656,1.0,154.91363525390625,65.39141082763672,1.0,145.53146362304688,113.01944732666016,1.0,104.22845458984375,105.10606384277344,1.0
